id,subject,ground_truth,predicted,correct,initial_answer
questao_81,Human Sciences,A,A,True,A
questao_82,Human Sciences,E,E,True,E
questao_83,Human Sciences,D,D,True,D
questao_84,Human Sciences,E,E,True,E
questao_85,Human Sciences,B,B,True,B
questao_86,Human Sciences,B,B,True,B
questao_87,Human Sciences,C,C,True,C
questao_88,Human Sciences,E,E,True,E
questao_89,Human Sciences,C,C,True,C
questao_90,Human Sciences,E,E,True,E
questao_91,Natural Sciences,D,D,True,D
questao_92,Natural Sciences,D,B,False,B
questao_93,Natural Sciences,B,D,False,B
questao_94,Natural Sciences,D,D,True,D
questao_95,Natural Sciences,D,D,True,D
questao_96,Natural Sciences,E,C,False,E
questao_97,Natural Sciences,B,B,True,B
questao_98,Natural Sciences,B,E,False,E
questao_99,Natural Sciences,A,B,False,B
questao_100,Natural Sciences,A,A,True,A
questao_101,Natural Sciences,E,C,False,D
questao_102,Natural Sciences,D,E,False,E
questao_103,Natural Sciences,E,E,True,E
questao_104,Natural Sciences,C,A,False,A
questao_105,Natural Sciences,B,B,True,B
questao_106,Natural Sciences,C,D,False,B
questao_107,Natural Sciences,E,E,True,E
questao_108,Natural Sciences,E,E,True,E
questao_109,Natural Sciences,D,E,False,D
questao_110,Natural Sciences,C,B,False,D
questao_111,Natural Sciences,A,E,False,D
questao_112,Natural Sciences,A,A,True,A
questao_113,Natural Sciences,C,C,True,C
questao_114,Natural Sciences,D,E,False,A
questao_115,Natural Sciences,B,B,True,B
questao_116,Natural Sciences,B,B,True,B
questao_117,Natural Sciences,C,C,True,C
questao_118,Natural Sciences,E,E,True,B
questao_119,Natural Sciences,D,B,False,D
questao_120,Natural Sciences,B,B,True,E
questao_121,Natural Sciences,B,B,True,B
questao_122,Natural Sciences,A,C,False,C
questao_123,Natural Sciences,E,E,True,E
questao_124,Natural Sciences,Anulado,B,False,A
questao_125,Natural Sciences,C,C,True,C
questao_126,Natural Sciences,C,C,True,C
questao_127,Natural Sciences,A,A,True,A
questao_128,Natural Sciences,E,C,False,C
questao_129,Natural Sciences,A,A,True,A
questao_130,Natural Sciences,A,E,False,E
questao_131,Natural Sciences,C,B,False,B
questao_132,Natural Sciences,C,C,True,C
questao_133,Natural Sciences,A,A,True,A
questao_134,Natural Sciences,E,E,True,E
questao_135,Natural Sciences,D,D,True,D
questao_136,Mathematics,C,C,True,C
questao_137,Mathematics,E,C,False,C
questao_138,Mathematics,B,B,True,A
questao_139,Mathematics,C,A,False,D
questao_140,Mathematics,E,D,False,D
questao_141,Mathematics,A,A,True,A
questao_142,Mathematics,D,D,True,D
questao_143,Mathematics,B,D,False,D
questao_144,Mathematics,B,C,False,C
questao_145,Mathematics,C,A,False,B
questao_146,Mathematics,E,A,False,C
questao_147,Mathematics,A,B,False,A
questao_148,Mathematics,D,B,False,D
questao_149,Mathematics,D,D,True,B
questao_150,Mathematics,D,D,True,D
questao_151,Mathematics,A,C,False,A
questao_152,Mathematics,B,C,False,B
questao_153,Mathematics,B,B,True,B
questao_154,Mathematics,A,C,False,D
questao_155,Mathematics,B,B,True,B
questao_156,Mathematics,B,A,False,A
questao_157,Mathematics,C,A,False,C
questao_158,Mathematics,C,C,True,C
questao_159,Mathematics,D,D,True,D
questao_160,Mathematics,C,A,False,A
questao_161,Mathematics,C,B,False,A
questao_162,Mathematics,E,E,True,E
questao_163,Mathematics,C,C,True,C
questao_164,Mathematics,E,E,True,E
questao_165,Mathematics,D,A,False,A
questao_166,Mathematics,B,D,False,D
questao_167,Mathematics,A,A,True,A
questao_168,Mathematics,C,C,True,C
questao_169,Mathematics,A,A,True,A
questao_170,Mathematics,D,C,False,C
questao_171,Mathematics,E,E,True,C
questao_172,Mathematics,C,C,True,C
questao_173,Mathematics,A,A,True,A
questao_174,Mathematics,B,D,False,D
questao_175,Mathematics,E,E,True,E
questao_176,Mathematics,D,D,True,D
questao_177,Mathematics,A,B,False,B
questao_178,Mathematics,D,D,True,D
questao_179,Mathematics,C,C,True,C
questao_180,Mathematics,B,B,True,C
